"Q7.在以上三种文化中您认为最具研究价值的是.","Q8.您认为最能体现以上三种文化差异的地方在于.","Q9..您对.不同地域文化之间存在区别又存在联系.的观点的认同程度..1.5打分.","微信","链接","手机提交","纸质问卷","大连","盘锦","沈阳","葫芦岛","哈尔滨","商丘","未知","second","minute","hour","所用时间","Q1.您的年级","Q2.您的性别","Q3.A.课堂学习.包括但不限于学校..","Q3.B.网络社交平台.","Q3.C.书籍杂志.","Q3.D.纪录片.","Q3.E.娱乐节目.","Q3.F.旁人讲述.","Q3.G.有生活经历.","Q3.H.完全不了解.","Q3.I.其他..","Q7.在以上三种文化中您认为最具研究价值的是.","Q8.您认为最能体现以上三种文化差异的地方在于.","Q9..您对.不同地域文化之间存在区别又存在联系.的观点的认同程度..1.5打分.","Q10.您认为研究不同地域文化的价值在于."
1,1,5,0,1,0,0,0,0,1,0,0,0,0,33,4,11,"50",2,1,1,1,1,1,0,0,1,0,0,1,1,5,1
3,1,3,1,0,0,0,1,0,0,0,0,0,0,1,11,11,"34",3,2,0,0,1,1,1,0,0,0,0,3,1,3,2
3,2,4,1,0,0,0,1,0,0,0,0,0,0,4,11,11,"39",2,2,0,1,0,0,1,0,0,0,0,3,2,4,2
2,3,3,1,0,0,0,1,0,0,0,0,0,0,42,11,11,"54",2,1,1,0,0,0,1,1,0,0,0,2,3,3,1
3,1,5,1,0,0,0,0,0,0,0,0,0,1,15,14,11,"38",5,2,0,0,1,1,0,0,0,0,0,3,1,5,2
3,1,4,1,0,0,0,0,0,0,1,0,0,0,29,14,11,"40",5,2,0,1,0,1,0,0,0,0,0,3,1,4,2
2,1,4,1,0,0,0,1,0,0,0,0,0,0,44,14,11,"54",2,2,1,1,1,1,1,1,1,0,0,2,1,4,2
3,3,5,1,0,0,0,1,0,0,0,0,0,0,25,15,11,"109",1,2,0,0,1,1,0,1,0,0,0,3,3,5,3
2,3,4,1,0,0,0,1,0,0,0,0,0,0,53,15,11,"126",2,2,1,1,1,1,1,1,1,0,0,2,3,4,2
2,3,4,1,0,0,0,0,1,0,0,0,0,0,54,19,11,"28",3,1,1,1,1,1,1,0,0,0,0,2,3,4,3
2,1,2,0,0,1,0,1,0,0,0,0,0,0,46,22,11,"22",2,1,0,0,1,0,0,0,0,0,0,2,1,2,3
1,1,5,0,0,1,0,1,0,0,0,0,0,0,21,23,11,"49",4,2,0,1,0,1,1,1,0,0,0,1,1,5,2
2,3,3,1,0,0,0,1,0,0,0,0,0,0,27,23,11,"41",4,2,1,1,1,1,1,0,1,0,0,2,3,3,1
2,2,3,0,0,1,0,1,0,0,0,0,0,0,35,23,11,"21",2,1,0,0,0,1,0,0,0,0,0,2,2,3,3
2,2,5,0,0,1,0,0,0,0,0,0,0,1,17,24,11,"38",2,1,0,1,0,0,0,0,0,0,0,2,2,5,1
2,3,4,0,0,1,0,0,0,1,0,0,0,0,32,30,11,"45",1,1,1,0,0,0,0,0,0,0,0,2,3,4,1
1,3,5,1,0,0,0,0,0,0,1,0,0,0,46,30,11,"56",2,2,0,1,0,0,0,0,0,0,0,1,3,5,1
