安徽-蚌埠,安徽-合肥,福建-福州,福建-泉州,广东-潮州,广东-深圳,河南-三门峡,黑龙江-绥化,湖北-武汉,湖南-长沙,江苏-连云港,辽宁-大连,山东-临沂,陕西-西安,上海-上海,四川-成都,香港-未知,重庆-重庆,日期,是否是周末,小时,分钟,秒,所用时间,来源,来源详情,Q1.您的年龄,Q2.您的性别,Q3(A．完全不了解),Q3(B．略有耳闻),Q3(C．一般了解),Q3(D．非常了解),Q4(A.传播速度快),Q4(B.时效性强),Q4(C.信息容量大),Q4(D.信息覆盖范围广),Q4(E.高度开放性),Q4(F.具有民族性和地域性),Q4(G.跨地域性),Q5.您对“目前互联网文化是以青年为主的文化”的观点的认同程度?（1-5打分）,Q6.您对“高质量发展青年互联网文化，是其成为文化强国有机组成部分”的认同程度?,Q7.您对“目前互联网文化仍需加强监管”的观点的认同程度?（1-5打分）,Q8.您认为最有效的监管措施是?,Q9.您主要的上网途径是?,Q10(A.学习/查资料),Q10(B.刷视频、看剧、听音乐),Q10(C.社交),Q10(D.玩游戏),Q10(E.网购),Q10(F.手机支付),Q10(G.看小说),Q10(H.炒股等理财),Q10(I.其他:)
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2022/8/15,0,16,1,20,95,手机提交,直接访问,2,2,0,0,1,0,1,1,1,0,0,0,1,4,2,4,5,1,1,1,1,0,1,1,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2022/8/15,0,16,12,11,66,手机提交,直接访问,2,2,0,0,1,0,1,1,0,1,1,0,0,3,2,5,3,1,0,1,1,1,0,1,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2022/8/15,0,16,29,18,74,微信,N/A,2,2,0,1,0,0,0,0,0,0,1,0,0,4,2,4,5,1,1,1,1,0,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2022/8/15,0,16,30,58,43,微信,N/A,2,2,0,0,1,0,1,1,1,1,1,1,1,3,1,4,1,1,1,1,1,0,1,1,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2022/8/16,0,9,25,15,30,微信,N/A,2,2,0,0,0,1,1,1,1,1,1,1,1,3,1,4,5,1,0,1,1,1,1,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022/8/16,0,9,26,20,35,微信,N/A,2,1,0,0,1,0,1,1,1,0,0,0,0,4,3,5,5,1,0,1,1,1,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2022/8/16,0,9,29,55,80,微信,N/A,2,2,0,0,1,0,1,0,1,1,0,1,0,3,2,4,4,1,1,1,0,1,1,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022/8/16,0,9,30,5,35,微信,N/A,2,2,1,1,1,0,1,1,1,1,1,0,0,4,2,5,2,1,1,1,1,0,1,0,1,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2022/8/16,0,9,32,46,38,微信,N/A,2,2,0,0,1,0,1,0,0,0,1,0,0,4,2,5,2,1,0,1,1,0,1,1,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022/8/18,0,13,57,26,21,微信,N/A,2,2,0,0,1,0,1,1,1,1,1,0,0,5,1,5,2,1,1,0,1,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2022/8/18,0,13,58,20,90,微信,N/A,2,2,0,1,0,0,1,1,1,1,0,0,0,4,2,5,2,1,0,1,1,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2022/8/18,0,14,3,27,37,微信,N/A,2,2,0,1,1,0,1,1,1,0,1,0,0,3,3,4,5,1,1,1,1,0,1,1,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2022/8/27,1,11,13,21,39,微信,N/A,2,2,0,0,0,1,1,1,1,1,1,1,1,3,2,4,4,1,1,1,1,0,1,1,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022/8/27,1,11,31,48,87,微信,N/A,2,2,0,0,1,0,1,1,1,1,0,0,0,3,2,4,2,1,1,1,1,1,1,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2022/8/27,1,11,36,34,45,微信,N/A,2,2,1,0,0,0,1,1,1,1,1,0,0,4,2,5,4,1,1,1,1,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2022/8/27,1,12,29,20,101,手机提交,直接访问,3,2,0,0,1,0,1,1,1,1,1,0,1,4,2,4,2,1,1,1,1,1,1,1,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022/8/27,1,15,21,11,11,手机提交,直接访问,6,2,1,0,0,0,0,1,0,0,0,0,0,3,2,1,1,3,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2022/8/27,1,16,5,33,53,微信,N/A,2,2,0,1,0,0,1,1,1,1,1,0,1,4,2,4,4,1,1,1,1,1,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2022/8/28,1,11,36,14,91,微信,N/A,2,1,0,0,1,1,1,1,1,1,1,0,1,4,1,3,1,2,1,1,1,1,1,1,0,1,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022/8/28,1,11,45,2,59,微信,N/A,2,2,0,0,1,0,1,1,1,1,1,1,1,3,1,5,4,1,1,1,1,0,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2022/8/28,1,15,35,15,54,微信,N/A,2,2,0,0,1,0,1,1,1,1,1,0,0,4,3,4,4,1,1,1,1,0,1,1,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2022/8/29,0,20,18,56,25,微信,N/A,2,2,0,1,0,0,1,1,0,0,0,0,0,3,3,2,3,1,1,0,1,0,0,0,0,0,0
